n,adm2,motion2,ms_ssim,psnr,ssim,vif_scale0,vif_scale1,vif_scale2,vif_scale3,vmaf,mse_avg,mse_u,mse_v,mse_y,psnr_avg,psnr_u,psnr_v,psnr_y,ssim_avg,ssim_u,ssim_v,ssim_y,input_file_dist,input_file_ref
990,0.99199,2.59887,0.99887,48.81064,0.99979,0.89465,0.98937,0.99467,0.99697,99.97187,0.83,0.91,0.64,0.86,48.95,48.56,50.05,48.81,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
991,0.99332,2.58802,0.99895,49.18458,0.9998,0.90156,0.99134,0.99559,0.99744,100.0,0.77,0.84,0.61,0.78,49.29,48.87,50.25,49.18,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
992,0.99201,2.58802,0.99885,48.76003,0.99978,0.89393,0.98942,0.99473,0.99702,99.97371,0.83,0.9,0.64,0.87,48.92,48.59,50.06,48.76,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
993,0.99559,2.56702,0.99912,49.8592,0.9999,0.90848,0.99516,0.99791,0.99894,100.0,0.62,0.56,0.49,0.67,50.18,50.63,51.2,49.86,0.995,0.994,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
994,0.99189,2.56702,0.99887,48.8145,0.99979,0.89433,0.98941,0.99467,0.99699,99.93873,0.83,0.91,0.65,0.85,48.94,48.54,50.02,48.81,0.994,0.991,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
995,0.99335,2.55145,0.99895,49.2055,0.9998,0.90138,0.9913,0.99553,0.99738,100.0,0.76,0.84,0.61,0.78,49.31,48.91,50.26,49.21,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
996,0.99228,2.55145,0.99886,48.8131,0.99979,0.89392,0.98945,0.99476,0.99705,100.0,0.83,0.9,0.64,0.85,48.96,48.6,50.07,48.81,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
997,0.99572,2.54055,0.99911,49.84694,0.99989,0.90792,0.99509,0.99784,0.99888,100.0,0.63,0.56,0.5,0.67,50.17,50.62,51.17,49.85,0.995,0.994,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
998,0.992,2.54055,0.99884,48.76881,0.99977,0.89358,0.98907,0.99439,0.99669,99.91524,0.83,0.91,0.65,0.86,48.91,48.56,50.01,48.77,0.994,0.991,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
999,0.99342,2.51743,0.99894,49.21423,0.9998,0.90114,0.99134,0.99555,0.99739,100.0,0.76,0.83,0.61,0.78,49.32,48.92,50.25,49.21,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
1000,0.9921,2.51743,0.99885,48.82261,0.99978,0.89369,0.98941,0.99473,0.99699,99.94898,0.82,0.89,0.64,0.85,48.97,48.63,50.06,48.82,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
1001,0.99569,2.49861,0.99911,49.85542,0.99989,0.90772,0.99509,0.99787,0.99893,100.0,0.63,0.56,0.5,0.67,50.17,50.62,51.14,49.86,0.995,0.994,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
1002,0.99212,2.49861,0.99886,48.87404,0.99978,0.89445,0.98943,0.99471,0.99705,99.94945,0.82,0.9,0.65,0.84,48.99,48.57,50.01,48.87,0.994,0.991,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
1003,0.99355,2.48154,0.99893,49.24001,0.9998,0.90089,0.99131,0.9956,0.99744,100.0,0.76,0.83,0.61,0.77,49.34,48.93,50.25,49.24,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
1004,0.99237,2.48154,0.99885,48.85534,0.99978,0.89365,0.98938,0.99473,0.99705,99.98196,0.82,0.89,0.64,0.85,49.0,48.64,50.07,48.86,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
1005,0.99579,2.4636,0.9991,49.86772,0.99989,0.90747,0.99505,0.99782,0.99887,100.0,0.62,0.56,0.5,0.67,50.18,50.62,51.14,49.87,0.995,0.994,0.993,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
1006,0.99207,2.4636,0.99885,48.83649,0.99978,0.89337,0.98927,0.99463,0.99696,99.91055,0.82,0.88,0.64,0.85,48.99,48.69,50.05,48.84,0.994,0.992,0.992,0.995,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
